name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
lima,2021-01-01,24.9,20.7,21.8,24.9,20.7,21.8,18.1,79.3,1.6,100,8.33,rain,0,0,,27.3,163.4,1013.7,87.7,10,209.3,18.1,8,,2021-01-01T05:47:25,2021-01-01T18:36:20,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"84628099999,84600099999,F8371"
lima,2021-01-02,25.9,18.7,21.5,25.9,18.7,21.5,18,81.5,0.3,100,4.17,rain,0,0,,24.1,167,1013.6,82.3,9.4,185.8,16,7,,2021-01-02T05:47:58,2021-01-02T18:36:42,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"84628099999,84600099999,F8371"
lima,2021-01-03,25.5,19.9,21.9,25.5,19.9,21.9,18.3,80.5,1.9,100,16.67,rain,0,0,,25.8,164.6,1012.9,81.3,9.9,254.9,22,9,,2021-01-03T05:48:32,2021-01-03T18:37:04,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"84628099999,84600099999,F8371"
lima,2021-01-04,25.8,19.4,21.8,25.8,19.4,21.8,18.4,81.4,2.7,100,16.67,rain,0,0,,25.6,169.7,1012.3,85.3,9.2,223,19.2,9,,2021-01-04T05:49:06,2021-01-04T18:37:24,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"84628099999,84600099999,F8371"
lima,2021-01-05,25,19.5,21.6,25,19.5,21.6,18.4,82.4,1.7,100,12.5,rain,0,0,,22.2,165.9,1012.4,78.9,9.3,220.6,18.9,9,,2021-01-05T05:49:39,2021-01-05T18:37:44,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"84628099999,84600099999,F8371"
lima,2021-01-06,24.5,19.9,21.6,24.5,19.9,21.6,18.6,83.2,0.9,100,8.33,rain,0,0,,20.3,172.6,1013,83.8,10,194,17,9,,2021-01-06T05:50:13,2021-01-06T18:38:02,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"84628099999,84600099999,F8371"
lima,2021-01-07,24.9,19.7,21.6,24.9,19.7,21.6,18.6,83,2.5,100,16.67,rain,0,0,,22,177.4,1013.6,71.3,9.7,169,14.5,7,,2021-01-07T05:50:47,2021-01-07T18:38:20,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"84628099999,84600099999,F8371"
lima,2021-01-08,25.1,19.1,21.8,25.1,19.1,21.8,18.1,80.1,0.4,100,8.33,rain,0,0,,25.4,169.2,1013.6,73.4,9.6,276.7,23.9,9,,2021-01-08T05:51:20,2021-01-08T18:38:37,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"84628099999,84600099999,F8371"
lima,2021-01-09,24,19.9,21.6,24,19.9,21.6,18.3,81.3,2.3,100,8.33,rain,0,0,,27.4,178.3,1013.2,85.8,9.9,213.3,18.4,9,,2021-01-09T05:51:54,2021-01-09T18:38:52,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"84628099999,84600099999,F8371"
lima,2021-01-10,24.4,20.4,21.9,24.4,20.4,21.9,18.3,80.2,0.2,100,8.33,rain,0,0,,29,167.7,1012.9,72.1,10,234.3,20.1,9,,2021-01-10T05:52:27,2021-01-10T18:39:07,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"84628099999,84600099999,F8371"
lima,2021-01-11,23.9,19.9,21.5,23.9,19.9,21.5,18,80.5,0,0,0,,0,0,,22.1,174.8,1012.8,83.6,10,218.6,18.9,9,,2021-01-11T05:53:00,2021-01-11T18:39:21,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"84628099999,84600099999,F8371"
